id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,llm_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved context regarding the refund request timeframe.,5,The answer directly and completely addresses the question about the refund request timeframe.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,llm_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",3,"The answer correctly identifies the need for approval from Line Manager and IT Admin, but it does not explicitly mention the requirement for IT Security approval for Level 3 access.",5,The answer directly and completely addresses the question by specifying who needs to approve the Level 3 access.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,llm_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are not refundable unless there is a manufacturer defect, but it does not explicitly mention the 7-day requirement for refund requests.",4,The answer mostly addresses the question but could provide more detail about the conditions under which digital products may be refunded.,5,Retrieved: 1/1 expected sources,3,"The model answer provides some relevant information but lacks key details about the refund policy for digital products. Missing: ['Specific mention that digital products are exceptions to the refund policy', 'Clarification that license keys and subscriptions are included in the exception']",llm_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,llm_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. On-call engineer nhận alert hoặc ticket, xác nhận severity trong 5 phút.
2. Gửi thông báo tới Slack #incident-p1 và email incident@company.internal ngay lập tức.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút. Nếu cần hỗ trợ thêm, escalate ngay.
5. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely outlines the escalation process for a P1 incident.,5,Retrieved: 1/1 expected sources,5,All key points from the expected answer are present.,llm_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by defining what an Approval Matrix is in the context of system access permissions.,5,Retrieved: 1/1 expected sources,3,"The model answer provides a general description but lacks specific details about the current name of the document. Missing: ['Current name of the document', ""Specific title 'Access Control SOP'""]",llm_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information about remote work conditions as stated in the retrieved context.,5,The answer directly and completely addresses the user's question about the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,3,"The model answer provides the maximum remote days but omits the conditions and the probation period context. Missing: ['condition được Team Lead phê duyệt', 'thời gian probation period']",llm_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Lỗi ERR-403-AUTH thường liên quan đến việc từ chối quyền truy cập do không đủ quyền hạn. Để xử lý, cần kiểm tra và điều chỉnh quyền truy cập của người dùng theo quy trình cấp phép truy cập. Nếu cần thiết, có thể thực hiện quy trình escalation để cấp quyền tạm thời trong trường hợp khẩn cấp [1][2].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the ERR-403-AUTH error and provides a clear method for resolution.,,No expected sources,3,"The model answer provides some relevant information but misses key points about the lack of documentation and the suggestion to contact IT Helpdesk. Missing: ['No information found about ERR-403-AUTH in existing documentation', 'Contact IT Helpdesk']",llm_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately reflects the lack of information regarding the emergency refund process for VIP customers as stated in the retrieved context.,3,The answer acknowledges the lack of information but does not address the core question about whether the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,3,"Mô hình trả lời thiếu thông tin quan trọng về chính sách hoàn tiền cho khách hàng VIP. Missing: ['Không đề cập đến việc tài liệu chính sách hoàn tiền không có quy trình đặc biệt cho khách hàng VIP.', 'Không nêu rõ thời gian hoàn tiền là 3-5 ngày làm việc.']",llm_rerank
